,label,study_and_condition
9945,__label__1,paty cur diagnos borderlin epithel ov tum form tum low malign pot recur invas epithel ov cant tre surgery stag ia ib low grad les elig paty pri diagnos borderlin tum surg resect subsequ develop unrel new invas epithel ov periton prim cant elig provid receiv pri chemotherapy ov tum patients current diagnosis borderline epithelial ovarian tumor formerly tumors low malignant potential recurrent invasive epithelial ovarian cancer treat surgery stage ia ib low grade lesions eligible patients prior diagnosis borderline tumor surgically resect subsequently develop unrelated new invasive epithelial ovarian peritoneal primary cancer eligible provide receive prior chemotherapy ovarian tumor
9946,__label__0,squam non smal cel lung cant diagnos estim lif expect least twelv week squamous non small cell lung cancer diagnosis estimate life expectancy least twelve weeks
9947,__label__0,stag ivb uterin sarcom diagnos liv within fifty mile_radius city hop stage ivb uterine sarcoma diagnosis live within fifty mile_radius city hope
9948,__label__0,melanom diagnos extern ventricul drain evd may util clin ind sourc csf lp evd clear record requir enrol overal protocol contr ind perform proc melanoma diagnosis external ventricular drain evd may utilize clinically indicate source csf lp evd clearly record require enrollment overall protocol contra indications performance procedure
9949,__label__0,myeloprol neoplasm diagnos don myeloproliferative neoplasm diagnosis donor
9950,__label__1,stag ivc lymphoepitheliom oropharynx diagnos hist myocard infarct equal_than less_than six month congest heart fail requir us ongo maint therapy lif threatening ventricul arrhythmia stage ivc lymphoepithelioma oropharynx diagnosis history myocardial infarction equal_than less_than six months congestive heart failure require use ongoing maintenance therapy life threaten ventricular arrhythmias
9951,__label__1,burkit lymphom diagnos act rec pri six mon invas fung infect without interdisciplin id consult approv burkitt lymphoma diagnosis active recent prior six month invasive fungal infection without interdisciplinary id consult approval
9952,__label__0,stag iib cerv cant diagnos hist aneurysm cerebrovascul accid arteriovenous_malformation stage iib cervical cancer diagnosis history aneurysms cerebrovascular accident arteriovenous_malformations
9953,__label__1,aid rel periph system lymphom diagnos posit serolog toxoplasma_gondii requir tre evid act infect aid relate peripheral systemic lymphoma diagnosis positive serology toxoplasma_gondii require treatment evidence active infection
9954,__label__0,cant diagnos paty must neg serolog test hiv hum immunodeficy vir cancer diagnosis patients must negative serology test hiv human immunodeficiency virus
9955,__label__0,metast squam neck cant occult prim squam cel carcinom diagnos urin protein gre trac metastatic squamous neck cancer occult primary squamous cell carcinoma diagnosis urine protein greater trace
9956,__label__0,contigu stag ii smal lymphocys lymphom diagnos histolog confirm cdthirty posit ebv posit lymphoid malign addit must evid cdtwenty express level contiguous stage ii small lymphocytic lymphoma diagnosis histologically confirm cdthirty positive ebv positive lymphoid malignancy addition must evidence cdtwenty expression level
9957,__label__0,stag iv breast cant diagnos ampl two fish stage iv breast cancer diagnosis amplification two fish
9958,__label__1,prost cant diagnos paty whos clin condit would mak chemotherapy clear ind prostate cancer diagnosis patients whose clinical condition would make chemotherapy clearly indicate
9959,__label__1,paty act second malign exceiv non melanom skin cant patients active second malignancy exception non melanoma skin cancer
9960,__label__1,non smal cel lung cant diagnos maj surgery within two week study sery concomit system disord would comprom saf paty paty abl complet study non small cell lung cancer diagnosis major surgery within two weeks study serious concomitant systemic disorder would compromise safety patient patient ability complete study
9961,__label__0,hematopoiet lymphoid cant diagnos predomin pop lymphocyt shar cel antig cdnineteen cdtwenty cdtwentythree wel cdfive abs pan cel mark cdthree_cdtwo etc hematopoietic lymphoid cancer diagnosis predominant population lymphocytes share cell antigens cdnineteen cdtwenty cdtwentythree well cdfive absence pan cell markers cdthree_cdtwo etc
9962,__label__0,stag iiib ov cant diagnos alkalin phosphatas less eq doc tim uln ctcae doc grad on stage iiib ovarian cancer diagnosis alkaline phosphatase less equal doc time uln ctcae doc grade one
9963,__label__1,blad cant diagnos unwil un comply protocol coop ful investig sit personnel bladder cancer diagnosis unwilling unable comply protocol cooperate fully investigator site personnel
9964,__label__0,stag ii breast cant diagnos wil limit dai alcohol intak follow stage iiic breast cancer diagnosis will limit daily alcohol intake follow
9965,__label__0,kapos sarcom diagnos docu hiv posit stat confirm two elisa hiv on rna test kaposi sarcoma diagnosis document hiv positive status confirm two elisas hiv one rna test
9966,__label__0,recur extranod margin zon lymphom mucos assocy lymphoid tissu diagnos weight loss greater_than equal_than ten within prevy six month recurrent extranodal marginal zone lymphoma mucosa associate lymphoid tissue diagnosis weight loss greater_than equal_than ten within previous six months
9967,__label__1,solid neoplasm diagnos acut myocard infarct equal_than less_than twelv month pri start drug solid neoplasm diagnosis acute myocardial infarction equal_than less_than twelve months prior start drug
9968,__label__1,cant diagnos liv fail alanin aminotransferas greater_than equal_than on hundr iu l cancer diagnosis liver failure alanine aminotransferase greater_than equal_than one hundred iu l
9969,__label__1,anaplast larg cel lymphom diagnos circ ant mous antibody ham anaplastic large cell lymphoma diagnosis circulate anti mouse antibody hama
9970,__label__0,multipl myelom plasm cel neoplasm diagnos spot radiotherapy less_than three vertebra allow multiple myeloma plasma cell neoplasm diagnosis spot radiotherapy less_than three vertebrae allow
9971,__label__0,breast cant diagnos norm org funct outlin protocol breast cancer diagnosis normal organ function outline protocol
9972,__label__1,recur adult grad ii lymphomatoid granulomatos diagnos paty homozyg mismatch maj histocompatibility_complex mhc class loc recurrent adult grade iii lymphomatoid granulomatosis diagnosis patients homozygous mismatch major histocompatibility_complex mhc class locus
9973,__label__0,breast cant diagnos hemoglobin greater_than ten dl breast cancer diagnosis hemoglobin greater_than ten dl
9974,__label__1,squam cel carcinom head neck diagnos hist allerg react attribut compound simil chem biolog composit mk three thousand four hundr seventyf ag us study squamous cell carcinoma head neck diagnosis history allergic reactions attribute compound similar chemical biologic composition mk three thousand four hundred seventyfive agents use study
9975,__label__1,unt child gliosarcom diagnos pregn breast fee wom ent study pregn test must obtain girl post menarch mal fem reproduc pot may particip unless agree us effect contraceiv method untreated childhood gliosarcoma diagnosis pregnant breast feed women enter study pregnancy test must obtain girls post menarchal males females reproductive potential may participate unless agree use effective contraceptive method
9976,__label__0,multipl myelom diagnos addit particip ndmm rrmm must meet remain criter multiple myeloma diagnosis addition participants ndmm rrmm must meet remain criteria
9977,__label__0,child infr ependymom diagnos karnofsky perform stat ps fifty on hundr paty greater_than sixteen year ag lansky ps fifty on hundr paty less_than sixteen year ag childhood infratentorial ependymoma diagnosis karnofsky performance status ps fifty one hundred patients greater_than sixteen years age lansky ps fifty one hundred patients less_than sixteen years age
9978,__label__0,stag iv adult soft tissu sarcom diagnos doc mg dl paty six elev month ag stage iv adult soft tissue sarcoma diagnosis doc mg dl patients six eleven months age
9979,__label__0,greater_than fiv day elaps tim obtain origin mark tum mark must rep enrol low risk paty in therapy intermedy risk paty result rep tum mark known tim study enrol greater_than five days elapse time obtain original markers tumor markers must repeat enrollment low risk patients initiate therapy intermediate risk patients result repeat tumor markers know time study enrollment
9980,__label__1,stag ii breast cant diagnos hormon therapy stage iiia breast cancer diagnosis hormone therapy
9981,__label__1,leukem lymphom adult cel diagnos acut act infect requir acut therapy leukemia lymphoma adult cell diagnosis acute active infection require acute therapy
9982,__label__1,multipl myelom diagnos paty known allergy hypersensit bortezomib dexamethason cyclophosphamid lenalidomid constitu compound boron mannitol lactos multiple myeloma diagnosis patient know allergy hypersensitivity bortezomib dexamethasone cyclophosphamide lenalidomide constituent compound boron mannitol lactose
9983,__label__0,recur child rhabdomyosarcom diagnos must receiv within three week pri entry onto study four week pri nitrosoure recurrent childhood rhabdomyosarcoma diagnosis must receive within three weeks prior entry onto study four weeks prior nitrosourea
9984,__label__1,lung cant diagnos wedg resect alon lung cancer diagnosis wedge resection alone
9985,__label__0,tum diagnos particul subject norm near norm screening liv test discret investig tumors diagnosis particular subject normal near normal screen liver test discretion investigator
9986,__label__0,lymphom malign diagnos quest princip investig mak decid lymphoma malignant diagnosis question principal investigator make decision
9987,__label__1,recur adrenocort carcinom diagnos hist sign periph neuropathy sign cent nerv system diseas recurrent adrenocortical carcinoma diagnosis history significant peripheral neuropathy significant central nervous system disease
9988,__label__1,tum diagnos paty clin sign ascit portosystem hypertend chronic jaund cirrhos tumors diagnosis patients clinically significant ascites portosystemic hypertension chronic jaundice cirrhosis
9989,__label__1,non hodgkin lymphom diagnos maj surgery within four week enrol non hodgkin lymphoma diagnosis major surgery within four weeks enrollment
9990,__label__0,solid neoplasm diagnos metast loc adv diseas progress least on pri therapy solid neoplasm diagnosis metastatic locally advance disease progress least one prior therapy
9991,__label__0,histolog prov soft tissu sarcom histologically prove soft tissue sarcoma
9992,__label__1,lymphom diagnos prevy lin neo adjuv med tre lymphoma diagnosis previous line neo adjuvant medical treatment
9993,__label__1,stag ib breast cant diagnos excid biopsy lumpectom perform pri random stage ib breast cancer diagnosis excisional biopsy lumpectomy perform prior randomization
9994,__label__1,tripl neg breast cant diagnos particip anoth clin tri tre investig drug within thirty day pri study entry triple negative breast cancer diagnosis participation another clinical trial treatment investigational drug within thirty days prior study entry
9995,__label__1,neoplasm diagnos ser creatinin doc up limit institut norm neoplasms diagnosis serum creatinine doc upper limit institutional norm
9996,__label__0,multipl myelom diagnos paty must sign irb approv writ inform cons form demonst wil meet follow schedule study proc oblig multiple myeloma diagnosis patients must sign irb approve write inform consent form demonstrate willingness meet follow schedule study procedure obligations
9997,__label__0,prost cant diagnos pri hormon therapy lutein hormon releas hormon lhrh agon antagon antiandrog estrog megestrol pc_spes progress diseas prostate cancer diagnosis prior hormonal therapy luteinizing hormone release hormone lhrh agonists antagonists antiandrogens estrogens megestrol pc_spes progressive disease
9998,__label__0,hepatocellul carcinom diagnos invas maj blood vessel hep port hep vein bil duc magnet reson im mri comput tomograph ct hepatocellular carcinoma diagnosis invasion major blood vessel hepatic portal hepatic vein bile duct magnetic resonance image mri compute tomography ct
9999,__label__0,germ cel tum diagnos not germ cell tumor diagnosis note
10000,__label__0,recur child cent nerv system neoplasm diagnos bilirubin sum conjug posit unconjug equal_than less_than doc up limit norm uln ag recurrent childhood central nervous system neoplasm diagnosis bilirubin sum conjugate positive unconjugated equal_than less_than doc upper limit normal uln age
10001,__label__0,splenic margin zon lymphom diagnos compat four inform hla loc splenic marginal zone lymphoma diagnosis compatibility four informative hla loci
10002,__label__0,recur sal gland cant diagnos prevy unt diseas allow prognos poor estim two year surv less ten tre standard therapy alon recurrent salivary gland cancer diagnosis previously untreated disease allow prognosis poor estimate two year survival less ten treat standard therapy alone
10003,__label__1,periph cel lymphom diagnos three cyc myelotox salv chemotherapy within past four month spec regim includ ice_dhap mtx_hidac hypercvad_vtd pac peripheral cell lymphoma diagnosis three cycle myelotoxic salvage chemotherapy within past four months specific regimens include ice_dhap mtx_hidac hypercvad_vtd pace
10004,__label__1,advers ev pri ant therapy grad greater_than on tim enrol adverse events prior anticancer therapy grade greater_than one time enrollment
10005,__label__0,hepatocellul carcinom diagnos fourteen must fit stereotact body immobl dev per institut manufact guidelin hepatocellular carcinoma diagnosis fourteen must fit stereotactic body immobilization device per institutional manufacturer guidelines
10006,__label__0,metast carcinom liv diagnos platelet count greater_than equal_than seventyf ten nin greater_than equal_than seventyf zero per mm three metastatic carcinoma liver diagnosis platelet count greater_than equal_than seventyfive ten nine greater_than equal_than seventyfive zero per mm three
10007,__label__1,metast breast cant diagnos bilirubin greater_than doc xuln metastatic breast cancer diagnosis bilirubin greater_than doc xuln
10008,__label__1,extraoss ew sarcom diagnos karnofsky perform stat less_than sixty lansky perform stat less_than fifty paty young sixteen year old extraosseous ewing sarcoma diagnosis karnofsky performance status less_than sixty lansky performance status less_than fifty patients younger sixteen years old
10009,__label__1,colon cant diagnos noncomply bowel regy colon cancer diagnosis noncompliance bowel regiment
10010,__label__1,stag iv ren cel cant diagnos pregn wom exclud study breastfee must discontinu moth tre amg three hundr eightysix stage iv renal cell cancer diagnosis pregnant women exclude study breastfeed must discontinue mother treat amg three hundred eightysix
10011,__label__1,stag iiib prim periton cav cant diagnos paty whos diseas progress follow least three cyc neoadjuv chemotherapy defin least on follow stage iiib primary peritoneal cavity cancer diagnosis patients whose disease progress follow least three cycle neoadjuvant chemotherapy define least one follow
10012,__label__0,lymphom diagnos pregn nurs lymphoma diagnosis pregnant nurse
10013,__label__1,stag ic uterin sarcom diagnos paty known hypersensit mesn thiol compound stage ic uterine sarcoma diagnosis patients know hypersensitivity mesna thiol compound
10014,__label__1,ant chemotherapy immunotherapy study within four week study entry anticancer chemotherapy immunotherapy study within four weeks study entry
10015,__label__0,obes paty prost cant diseas diagnos bmi greater_than equal_than thirty obese patients prostate cancer disease diagnosis bmi greater_than equal_than thirty
10016,__label__0,child low grad cerebr astrocytom diagnos provid writ inform cons childhood low grade cerebral astrocytoma diagnosis provide write inform consent
10017,__label__0,lung cant diagnos pri radiotherapy chest are contain larg amount bon marrow seventyf pelv bon lung cancer diagnosis prior radiotherapy chest area contain large amount bone marrow seventyfive pelvic bone
10018,__label__0,stag ii pancr cant diagnos ser creatinin less_than doc mg dl creatinin clear greater_than equal_than fifty ml mm calc meas stage iii pancreatic cancer diagnosis serum creatinine less_than doc mg dl creatinine clearance greater_than equal_than fifty ml mm calculate measure
10019,__label__1,stag ii squam cel carcinom larynx diagnos chemotherapy therapy pal rady therapy within prevy two week pri dos cetuximab vtx_two337 paty recov maj tox pri therapy deem revers tox return baselin equal_than less_than grad two sev stage iii squamous cell carcinoma larynx diagnosis chemotherapy therapy palliative radiation therapy within previous two weeks prior dose cetuximab vtx_two337 patients recover major toxicities prior therapy deem reversible toxicities return baseline equal_than less_than grade two severity
10020,__label__0,kidney cant diagnos acquir bon marrow fail syndrom kidney cancer diagnosis acquire bone marrow failure syndromes
10021,__label__0,recur non smal cel lung carcinom diagnos tot bilirubin within norm institut limit recurrent non small cell lung carcinoma diagnosis total bilirubin within normal institutional limit
10022,__label__1,pri ongo system therapy prost cant includ limit prior ongoing systemic therapy prostate cancer include limit
10023,__label__0,recur child subependym giant cel astrocytom diagnos platelet count greater_than twenty zero mm three may receiv platelet transfus recurrent childhood subependymal giant cell astrocytoma diagnosis platelet count greater_than twenty zero mm three may receive platelet transfusions
10024,__label__1,diffus larg cel lymphom diagnos fertil men wom unwil us contraceiv techn twelv month follow tre diffuse large cell lymphoma diagnosis fertile men women unwilling use contraceptive techniques twelve months follow treatment
10025,__label__1,squam cel lung carcinom diagnos preclin study ind transy chang correct qt qtc interv mk two thousand two hundr six tre prolong qtc interv pot saf concern mk two thousand two hundr six therapy cardiovascul squamous cell lung carcinoma diagnosis preclinical study indicate transient change correct qt qtc interval mk two thousand two hundred six treatment prolongation qtc interval potentially safety concern mk two thousand two hundred six therapy cardiovascular
10026,__label__1,undifferenty fallop tub carcinom diagnos maj surg proc within twentyeight day pri cyc on day on anticip nee maj surg proc cours study undifferentiated fallopian tube carcinoma diagnosis major surgical procedure within twentyeight days prior cycle one day one anticipation need major surgical procedure course study
10027,__label__1,malign neoplasm fem genit org diagnos non heal wound ulc bon fract malignant neoplasms female genital organs diagnosis non heal wind ulcer bone fracture
10028,__label__1,invas adenocarcinom breast diagnos admin condit requir admin system steroid therapy form immunosuppress therapy within sev day pri in study tre exceiv invasive adenocarcinoma breast diagnosis administration condition require administration systemic steroid therapy form immunosuppressive therapy within seven days prior initiate study treatment exception
10029,__label__0,ov stromal cant diagnos individ on four radiosurg target les must excess volum gre on hundr sixty cub centimet cc ovarian stromal cancer diagnosis individual one four radiosurgical target lesion must exceed volume greater one hundred sixty cubic centimeters cc
10030,__label__1,breast cant diagnos known sev hypersensit everolim simil drug excipy produc breast cancer diagnosis know severe hypersensitivity everolimus similar drug excipients product
10031,__label__1,recur margin zon lymphom diagnos paty poor control hypertend multipl antihypertend recurrent marginal zone lymphoma diagnosis patient poorly control hypertension multiple antihypertensives
10032,__label__0,bily tract cant diagnos creatinin less_than doc up limit norm uln biliary tract cancer diagnosis creatinine less_than doc upper limit normal uln
10033,__label__0,brain cent nerv system tum diagnos bilirubin less_than doc mg brain central nervous system tumors diagnosis bilirubin less_than doc mg
10034,__label__0,sarcom diagnos dist nod diseas sarcoma diagnosis distant nodule disease
10035,__label__1,breast cant diagnos paty tfo les neoadjuv set elig breast cancer diagnosis patients tfour lesions neoadjuvant set eligible
10036,__label__0,non hodgkin lymphom diagnos paty must inelig relaps autolog allog stem cel transpl clin appropry non hodgkin lymphoma diagnosis patients must ineligible relapse autologous allogeneic stem cell transplant clinically appropriate
10037,__label__1,receiv system tre cant includ immunotherapy within on mon pri in dos within protocol receive systemic treatment cancer include immunotherapy within one month prior initiation dose within protocol
10038,__label__0,stag iv sal gland cant diagnos concur uncontrol il would preclud study particip stage iv salivary gland cancer diagnosis concurrent uncontrolled illness would preclude study participation
10039,__label__0,nod margin zon cel lymphom diagnos pbmc permit hsc_source protocol nodal marginal zone cell lymphoma diagnosis pbmc permit hsc_source protocol
10040,__label__1,act heart diseas includ limit symptom congest heart fail symptom coron artery diseas symptom angin pect symptom myocard infarct symptom congest heart fail active heart disease include limit symptomatic congestive heart failure symptomatic coronary artery disease symptomatic angina pectoris symptomatic myocardial infarction symptomatic congestive heart failure
10041,__label__0,stag iv inflam breast carcinom diagnos ser creatinin less_than doc uln up limit norm stage iv inflammatory breast carcinoma diagnosis serum creatinine less_than doc uln upper limit normal
10042,__label__1,non hodgkin lymphom diagnos known cdtwenty neg stat relaps progress non hodgkin lymphoma diagnosis know cdtwenty negative status relapse progression
10043,__label__1,myelom diagnos infect requir system antibiot therapy sery infect within fourteen day study enrol myeloma diagnosis infection require systemic antibiotic therapy serious infection within fourteen days study enrollment
10044,__label__0,stag iv grad three follicul lymphom diagnos abl understand wil sign writ inform cons docu stage iv grade three follicular lymphoma diagnosis ability understand willingness sign write inform consent document
10045,__label__0,famil adenom polypos diagnos wil abl sign inform cons familial adenomatous polyposis diagnosis willingness ability sign inform consent
10046,__label__0,non hodgkin lymphom diagnos creatinin clear greater_than fifty ml min doc three mtwo particip creatinin level doc uln non hodgkin lymphoma diagnosis creatinine clearance greater_than fifty ml min doc three mtwo participants creatinine level doc uln
10047,__label__1,recur mantl cel lymphom diagnos known hist uncontrol sleep_apnea syndrom condit could result excessive_daytim sleepy sev chronic obstruct pulmon diseas requir suppl oxyg condit could result excess tox assocy benzodiazepin lik effect mlneight thousand two hundr thirtysev recurrent mantle cell lymphoma diagnosis know history uncontrolled sleep_apnea syndrome condition could result excessive_daytime sleepiness severe chronic obstructive pulmonary disease requirement supplemental oxygen condition could result excessive toxicity associate benzodiazepine like effect mlneight thousand two hundred thirtyseven
10048,__label__0,unspec adult solid tum protocol spec diagnos radiotherapy unspecified adult solid tumor protocol specific diagnosis radiotherapy
10049,__label__1,metast pancr adenocarcinom diagnos cur us nat herb produc folk_remedies us prevy paty must stop us nat herb produc particip study metastatic pancreatic adenocarcinoma diagnosis current use natural herbal products folk_remedies use previously patients must stop use natural herbal products participate study
10050,__label__0,situ carcinom stag iaon without lvsi situ carcinoma stage iaone without lvsi
10051,__label__1,ov clear cel adenocarcinom diagnos particip requir lik requir two week cours corticosteroid intercur il particip must complet cours corticosteroid two week screening meet elig ovarian clear cell adenocarcinoma diagnosis participant require likely require two week course corticosteroids intercurrent illness participant must complete course corticosteroids two weeks screen meet eligibility
10052,__label__1,refract germ cel tum express egrf diagnos class ii iv heart diseas refractory germ cell tumors express egrf diagnosis class iii iv heart disease
10053,__label__0,sarcom ew diagnos height ht meas cm ser creatinin cr mg dl sarcoma ewing diagnosis height ht measure cm serum creatinine cr mg dl
10054,__label__0,stag ii ren cel cant diagnos pri cytokin therapy allow stage iii renal cell cancer diagnosis prior cytokine therapy allow
10055,__label__1,stag ii multipl myelom diagnos don stage iii multiple myeloma diagnosis donor
10056,__label__1,sal gland squam cel carcinom diagnos subject pulmon hemorrh blee ev nci ctcae doc grad two high within four week random hemorrh blee ev nci ctcae doc grad three high within four week random salivary gland squamous cell carcinoma diagnosis subject pulmonary hemorrhage bleed event nci ctcae doc grade two higher within four weeks randomization hemorrhage bleed event nci ctcae doc grade three higher within four weeks randomization
10057,__label__0,lung cant diagnos pri surgery allow provid wound heal occur lung cancer diagnosis prior surgery allow provide wind heal occur
10058,__label__0,recur gast cant diagnos hashimoto thyroidit recurrent gastric cancer diagnosis hashimoto thyroiditis
10059,__label__0,adult nodul sclerosis hodgkin lymphom diagnos paty cut subcut diseas meas lymph nod bon marrow diseas elig ext rash skin involv siz nod meas adult nodular sclerosis hodgkin lymphoma diagnosis patients cutaneous subcutaneous disease measurable lymph node bone marrow disease eligible extent rash skin involvement size nodules measurable
10060,__label__0,breast cant diagnos least on object meas diseas paramet breast cancer diagnosis least one objective measurable disease parameter
10061,__label__1,carcinom squam cel diagnos pregn lact carcinoma squamous cell diagnosis pregnancy lactation
10062,__label__0,stag ivb rect cant diagnos abl swallow caps stage ivb rectal cancer diagnosis able swallow capsule
10063,__label__0,sarcom diagnos neg pregn test sarcoma diagnosis negative pregnancy test
10064,__label__1,prost cant diagnos paty tak drug may prolong qt interv pres known risk torsad de point exclud prostate cancer diagnosis patients take drug may prolong qt intervals present know risk torsades de point exclude
10065,__label__1,stag iiib breast cant diagnos supraventricul nod arrhythmia requir pacemak control med stage iiib breast cancer diagnosis supraventricular nodal arrhythmias require pacemaker control medication
10066,__label__0,child hepatoblastom diagnos doc mg dl ten less_than thirteen year ag childhood hepatoblastoma diagnosis doc mg dl ten less_than thirteen years age
10067,__label__1,gast cant diagnos pres sery il med condit med hist includ abnorm lab paramet opin investig would lik interf subject particip study interpret result gastric cancer diagnosis presence serious illness medical condition medical history include abnormal laboratory parameters opinion investigator would likely interfere subject participation study interpretation result
10068,__label__0,non hodgkin lymphom diagnos paty must cr defin hematolog recovery less_than fiv blast light microscop within bon marrow cellul greater_than 1five non hodgkin lymphoma diagnosis patients must cr define hematological recovery less_than five blast light microscopy within bone marrow cellularity greater_than 1five
10069,__label__1,stag iv melanom diagnos lipid_lowering drug statin stage iv melanoma diagnosis lipid_lowering drug statins
10070,__label__1,tum mgmt_promoter methyl part methyl methyl stat determin tumor mgmt_promoter methylated partially methylated methylation status determine
10071,__label__0,prost cant diagnos adequ org funct includ follow prostate cancer diagnosis adequate organ function include follow
10072,__label__1,stag iv adult burkit lymphom diagnos verapamil diltiazem stage iv adult burkitt lymphoma diagnosis verapamil diltiazem
10073,__label__1,myeloprol neoplasm diagnos hist allerg react attribut compound simil chem biolog composit pacritinib ag us study myeloproliferative neoplasm diagnosis history allergic reactions attribute compound similar chemical biologic composition pacritinib agents use study
10074,__label__0,stag iib fallop tub cant diagnos paty leg repres must understand investig nat study sign independ eth commit institut review board approv writ inform cons form pri receiv study rel proc stage iib fallopian tube cancer diagnosis patient legal representative must understand investigational nature study sign independent ethics committee institutional review board approve write inform consent form prior receive study relate procedure
10075,__label__1,breast cant diagnos cur act infect incomplet wound heal breast cancer diagnosis currently active infection incomplete wind heal
10076,__label__0,kidney cant diagnos creatinin clear gre fifty ml min kidney cancer diagnosis creatinine clearance greater fifty ml min
10077,__label__0,lymphom diagnos cardiovascul lymphoma diagnosis cardiovascular
10078,__label__0,stag iv verruc carcinom larynx diagnos leukocyt greater_than equal_than three zero mcl stage iv verrucous carcinoma larynx diagnosis leukocytes greater_than equal_than three zero mcl
10079,__label__0,non smal cel lung cant recur diagnos howev particip must receiv least two cyc platin doublet bas chemotherapy discontinu tox non small cell lung cancer recurrent diagnosis however participants must receive least two cycle platinum doublet base chemotherapy discontinuation toxicity
10080,__label__0,recur breast carcinom diagnos abdomin mass confirm follow im techn recurrent breast carcinoma diagnosis abdominal mass confirm follow image techniques
10081,__label__1,recur grad three follicul lymphom diagnos left ventricul eject fract less_than forty recurrent grade three follicular lymphoma diagnosis leave ventricular ejection fraction less_than forty
10082,__label__1,colorect cant diagnos sens periph neuropathy greater_than equal_than grad two colorectal cancer diagnosis sensory peripheral neuropathy greater_than equal_than grade two
10083,__label__1,stag iv grad two follicul lymphom diagnos uncontrol diabet mellit cardiovascul diseas act sery infect condit opin tre phys would mak protocol unreasonably_hazardous paty stage iv grade two follicular lymphoma diagnosis uncontrolled diabetes mellitus cardiovascular disease active serious infection condition opinion treat physician would make protocol unreasonably_hazardous patient
10084,__label__0,stag iv adult soft tissu sarcom diagnos concur combin antiretrovir therapy hiv posit paty stage iv adult soft tissue sarcoma diagnosis concurrent combination antiretroviral therapy hiv positive patients
10085,__label__1,oligodendrogliom diagnos pregn breastfee oligodendroglioma diagnosis pregnant breastfeed
10086,__label__0,transit cel cant ren pelv uret diagnos creatinin less_than doc mg dl transitional cell cancer renal pelvis ureter diagnosis creatinine less_than doc mg dl
10087,__label__1,poor differenty neuroendocrin carcinom high grad neuroendocrin carcinom adenocarcinoid goblet cel carcinom smal cel carcinom poorly differentiate neuroendocrine carcinoma high grade neuroendocrine carcinoma adenocarcinoid goblet cell carcinoma small cell carcinoma
10088,__label__1,gast adenocarcinom diagnos aspirin us dos three hundr twentyf milligram mg day permit gastric adenocarcinoma diagnosis aspirin use dose three hundred twentyfive milligrams mg day permit
10089,__label__1,relaps solid tum diagnos paty il psychy disord soc issu could comprom paty saf comply protocol tre proc interf cons study particip follow interpret study result relapse solid tumors diagnosis patient illness psychiatric disorder social issue could compromise patient safety compliance protocol treatment procedures interfere consent study participation follow interpretation study result
10090,__label__0,recur squam cel carcinom lip or cav diagnos immun deficy hiv posit recurrent squamous cell carcinoma lip oral cavity diagnosis immune deficiency hiv positivity
10091,__label__0,stag iib pancr cant diagnos ser glutam oxaloacet transaminas sgot must equal_than less_than doc institut uln within twentyon day reg study within twentyon day pri day on chemotherapy post surgery paty start chemotherapy pri first step reg stage iib pancreatic cancer diagnosis serum glutamic oxaloacetic transaminase sgot must equal_than less_than doc institutional uln within twentyone days registration study within twentyone days prior day one chemotherapy post surgery patients start chemotherapy prior first step registration
10092,__label__0,lymphom diagnos radiotherapy lymphoma diagnosis radiotherapy
10093,__label__0,lymphom diagnos neg pregn test lymphoma diagnosis negative pregnancy test
10094,__label__0,endomet ser adenocarcinom diagnos paty receiv on pri regim must gog perform stat zero on two paty receiv two pri regim must gog perform stat zero on endometrial serous adenocarcinoma diagnosis patients receive one prior regimen must gog performance status zero one two patients receive two prior regimens must gog performance status zero one
10095,__label__0,recur neuroblastom diagnos group atwo recurrent neuroblastoma diagnosis group atwo
10096,__label__1,stag ii grad two follicul lymphom diagnos hist lif threatening recur thrombosis embol paty may particip adequ anticoag tre stage iii grade two follicular lymphoma diagnosis history life threaten recurrent thrombosis embolism patients may participate adequately anticoagulated treatment
10097,__label__1,child diffus larg cel lymphom diagnos on typ mismatch consid two antig mismatch allow childhood diffuse large cell lymphoma diagnosis one type mismatch consider two antigen mismatch allow
10098,__label__0,intraocul lymphom diagnos suspect gilbert syndrom intraocular lymphoma diagnosis suspect gilbert syndrome
10099,__label__0,mucin adenocarcinom colon diagnos wom childbear pot wocbp sex act mal must agr us acceiv effect method contraceiv pri study entry dur study wocbp includ fem expery menarch undergon success surg steril hysterectom bil tub lig bil oophorectom postmenopaus ev wom us or impl inject contraceiv hormon mech produc intrauterin dev barry method diaphragm condom spermicid prev pregn pract abstin partn steril vasectom consid child bear pot mucinous adenocarcinoma colon diagnosis women childbearing potential wocbp sexually active males must agree use accept effective method contraception prior study entry duration study wocbp include female experience menarche undergo successful surgical sterilization hysterectomy bilateral tubal ligation bilateral oophorectomy postmenopausal even women use oral implant injectable contraceptive hormones mechanical products intrauterine device barrier methods diaphragm condoms spermicides prevent pregnancy practice abstinence partner sterile vasectomy consider child bear potential
10100,__label__1,pancr cant diagnos sery non malign diseas congest heart fail uncontrol infect opin investig would comprom study object pancreatic cancer diagnosis serious non malignant disease congestive heart failure uncontrolled infections opinion investigator would compromise study objectives
10101,__label__1,colorect cant diagnos radiotherapy within fourteen day com study tre colorectal cancer diagnosis radiotherapy within fourteen days commence study treatment
10102,__label__0,lung adenocarcinom diagnos eastern coop oncolog group ecog zero on lung adenocarcinoma diagnosis eastern cooperative oncology group ecog zero one
